cell_type	gene
PROG	HOPX
PROG	SOX2
PC	TOP2A
PC	BIRC5
IN	GAD1
IN	GAD2
EX	SLC17A6
EX	SLC17A7
EX	KCNJ6
AS	AQP4
AS	GFAP
OPC	OLIG1
OPC	OLIG2
IPC	EOMES
IPC	PPP1R17
Neuron	TUBB3
Neuron	RBFOX3
EPI	EPCAM
ECL	CLDN5
ECL	KDR
CPL	TTR
CPL	AQP1
PERL	RGS5
PERL	ABCC9
SMCL	ACTA2
SMCL	TAGLN
FIBL	COL1A1
FIBL	LUM
MGLC	CX3CR1
MGLC	CD53
UPRC	DDIT3
UPRC	DDIT4
