gene	type	marker_type
MCM5	S	cell_cycle
PCNA	S	cell_cycle
TYMS	S	cell_cycle
FEN1	S	cell_cycle
MCM7	S	cell_cycle
MCM4	S	cell_cycle
RRM1	S	cell_cycle
UNG	S	cell_cycle
GINS2	S	cell_cycle
MCM6	S	cell_cycle
CDCA7	S	cell_cycle
DTL	S	cell_cycle
PRIM1	S	cell_cycle
UHRF1	S	cell_cycle
CENPU	S	cell_cycle
HELLS	S	cell_cycle
RFC2	S	cell_cycle
POLR1B	S	cell_cycle
NASP	S	cell_cycle
RAD51AP1	S	cell_cycle
GMNN	S	cell_cycle
WDR76	S	cell_cycle
SLBP	S	cell_cycle
CCNE2	S	cell_cycle
UBR7	S	cell_cycle
POLD3	S	cell_cycle
MSH2	S	cell_cycle
ATAD2	S	cell_cycle
RAD51	S	cell_cycle
RRM2	S	cell_cycle
CDC45	S	cell_cycle
CDC6	S	cell_cycle
EXO1	S	cell_cycle
TIPIN	S	cell_cycle
DSCC1	S	cell_cycle
BLM	S	cell_cycle
CASP8AP2	S	cell_cycle
USP1	S	cell_cycle
CLSPN	S	cell_cycle
POLA1	S	cell_cycle
CHAF1B	S	cell_cycle
MRPL36	S	cell_cycle
E2F8	S	cell_cycle
HMGB2	G2M	cell_cycle
CDK1	G2M	cell_cycle
NUSAP1	G2M	cell_cycle
UBE2C	G2M	cell_cycle
BIRC5	G2M	cell_cycle
TPX2	G2M	cell_cycle
TOP2A	G2M	cell_cycle
NDC80	G2M	cell_cycle
CKS2	G2M	cell_cycle
NUF2	G2M	cell_cycle
CKS1B	G2M	cell_cycle
MKI67	G2M	cell_cycle
TMPO	G2M	cell_cycle
CENPF	G2M	cell_cycle
TACC3	G2M	cell_cycle
PIMREG	G2M	cell_cycle
SMC4	G2M	cell_cycle
CCNB2	G2M	cell_cycle
CKAP2L	G2M	cell_cycle
CKAP2	G2M	cell_cycle
AURKB	G2M	cell_cycle
BUB1	G2M	cell_cycle
KIF11	G2M	cell_cycle
ANP32E	G2M	cell_cycle
TUBB4B	G2M	cell_cycle
GTSE1	G2M	cell_cycle
KIF20B	G2M	cell_cycle
HJURP	G2M	cell_cycle
CDCA3	G2M	cell_cycle
JPT1	G2M	cell_cycle
CDC20	G2M	cell_cycle
TTK	G2M	cell_cycle
CDC25C	G2M	cell_cycle
KIF2C	G2M	cell_cycle
RANGAP1	G2M	cell_cycle
NCAPD2	G2M	cell_cycle
DLGAP5	G2M	cell_cycle
CDCA2	G2M	cell_cycle
CDCA8	G2M	cell_cycle
ECT2	G2M	cell_cycle
KIF23	G2M	cell_cycle
HMMR	G2M	cell_cycle
AURKA	G2M	cell_cycle
PSRC1	G2M	cell_cycle
ANLN	G2M	cell_cycle
LBR	G2M	cell_cycle
CKAP5	G2M	cell_cycle
CENPE	G2M	cell_cycle
CTCF	G2M	cell_cycle
NEK2	G2M	cell_cycle
G2E3	G2M	cell_cycle
GAS2L3	G2M	cell_cycle
CBX5	G2M	cell_cycle
CENPA	G2M	cell_cycle
