# NNLO + N3LL: NNLOJET + RADISH
# x[1] y_ctr[2] y_min[3] y_max[4]
1.000000e+00 2.930209e-02 2.620064e-02 3.374432e-02
3.000000e+00 5.469173e-02 5.376901e-02 5.816373e-02
5.000000e+00 5.395948e-02 5.280321e-02 5.578726e-02
7.000000e+00 4.736615e-02 4.675894e-02 4.806833e-02
9.000000e+00 4.015306e-02 3.961371e-02 4.088809e-02
1.150000e+01 3.226332e-02 3.148000e-02 3.274075e-02
1.450000e+01 2.514007e-02 2.431287e-02 2.558310e-02
1.800000e+01 1.898327e-02 1.842259e-02 1.949852e-02
2.250000e+01 1.365792e-02 1.327349e-02 1.388817e-02
2.750000e+01 9.920844e-03 9.572795e-03 1.002861e-02
3.350000e+01 7.037211e-03 6.757854e-03 7.074969e-03
4.100000e+01 4.744660e-03 4.553096e-03 4.775090e-03
5.000000e+01 3.091404e-03 2.963139e-03 3.112880e-03
6.000000e+01 1.997539e-03 1.919239e-03 2.016349e-03
7.000000e+01 1.315001e-03 1.261982e-03 1.322101e-03
8.000000e+01 8.693767e-04 8.355541e-04 8.771759e-04
9.500000e+01 5.053485e-04 4.831353e-04 5.087291e-04
1.275000e+02 1.903751e-04 1.832906e-04 1.929746e-04
