# NNLO + N3LL: NNLOJET + RADISH
# x[1] y_ctr[2] y_min[3] y_max[4]
1.000000e+00 2.991506e-02 2.671482e-02 3.479942e-02
3.000000e+00 5.534277e-02 5.450129e-02 5.918134e-02
5.000000e+00 5.525935e-02 5.404400e-02 5.679168e-02
7.000000e+00 4.767523e-02 4.681651e-02 4.848196e-02
9.000000e+00 4.036828e-02 3.965223e-02 4.102768e-02
1.150000e+01 3.201979e-02 3.137684e-02 3.255519e-02
1.450000e+01 2.485345e-02 2.419242e-02 2.545769e-02
1.800000e+01 1.894611e-02 1.831589e-02 1.936552e-02
2.250000e+01 1.365979e-02 1.316025e-02 1.379466e-02
2.750000e+01 9.799893e-03 9.425637e-03 9.883850e-03
3.350000e+01 6.976794e-03 6.667133e-03 7.027239e-03
4.100000e+01 4.593112e-03 4.423740e-03 4.644808e-03
5.000000e+01 3.025173e-03 2.893952e-03 3.061195e-03
6.000000e+01 1.948098e-03 1.858073e-03 1.967937e-03
7.000000e+01 1.265706e-03 1.219653e-03 1.279095e-03
8.000000e+01 8.565540e-04 8.157445e-04 8.612097e-04
9.500000e+01 4.972181e-04 4.730755e-04 5.002194e-04
1.275000e+02 1.892330e-04 1.791801e-04 1.900048e-04
