XMT-name	Database-name
Albite	ALBITE
Amphibole	AMPHx
Amphibole	TREMOLITE
Andalusite	ANDALUSITE
Anorthite	ANORTHITE
Biotite	BIOTITE
Brucite	BRUCITE
Calcite	CALCITE
Chlorite	CHL4
Chloritoid	CTOID
Clinopyroxene	OMPH
Clinopyroxene	DIOPSIDE
Clinopyroxene	JADEITE
Clinopyroxene	HEDENBERGITE
Coesite	COESITE
Cordierite	CORDIERITE
Cordierite	CORD
Cordierite	Cd
Dolomite	DOLOMITE
Epidote	EPID
Epidote	EPIDOTE
Garnet	GARNET
Glaucophane	GLAUCOPHANE
Hematite	HEMATITE
Ilmenite	ILM
Ilmenite	ILMENITE
Kfeldspar	FSP2
Kfeldspar	KFELDSPAR
Kyanite	KYANITE
Lawsonite	LAWSONITE
Magnesite	MAGNESITE
Magnetite	MAGNETITE
Muscovite	WHITE_MICA_Ms
Olivine	OLIVINEi
Omphacite	OMPH
Orthopyroxene	OPX
Paragonite	WHITE_MICA_Pg
Phengite	WHITE_MICA
Phengite	PHNG
Quartz	A-QUARTZ
Quartz	B-QUARTZ
Rutile	RUTILE
Serpentine	ANTIGORITE
Serpentine	CHRYSOTILE
Sillimanite	SILLIMANITE
Spinel	SPIN
Staurolite	STAU
Talc	TALC
Titanite	SPHENE
Zircon	ZIRCON
Zoisite	ZOISITE
Zoisite	CLINOZOISITE
