id,name,full_name,season,team_id
1,ARS,Arsenal,2425,1
2,AVL,Aston Villa,2425,2
3,BOU,Bournemouth,2425,3
4,BRE,Brentford,2425,4
5,BHA,Brighton,2425,5
6,CHE,Chelsea,2425,6
7,CRY,Crystal Palace,2425,7
8,EVE,Everton,2425,8
9,FUL,Fulham,2425,9
10,IPS,Ipswich,2425,10
11,LEI,Leicester,2425,11
12,LIV,Liverpool,2425,12
13,MCI,Man City,2425,13
14,MUN,Man Utd,2425,14
15,NEW,Newcastle,2425,15
16,NFO,Nott'm Forest,2425,16
17,SOU,Southampton,2425,17
18,TOT,Spurs,2425,18
19,WHU,West Ham,2425,19
20,WOL,Wolves,2425,20
21,ARS,Arsenal,2324,1
22,AVL,Aston Villa,2324,2
23,BOU,Bournemouth,2324,3
24,BRE,Brentford,2324,4
25,BHA,Brighton,2324,5
26,BUR,Burnley,2324,6
27,CHE,Chelsea,2324,7
28,CRY,Crystal Palace,2324,8
29,EVE,Everton,2324,9
30,FUL,Fulham,2324,10
31,LIV,Liverpool,2324,11
32,LUT,Luton,2324,12
33,MCI,Man City,2324,13
34,MUN,Man Utd,2324,14
35,NEW,Newcastle,2324,15
36,NFO,Nott'm Forest,2324,16
37,SHU,Sheffield United,2324,17
38,TOT,Spurs,2324,18
39,WHU,West Ham,2324,19
40,WOL,Wolves,2324,20
41,ARS,Arsenal,2223,1
42,AVL,Aston Villa,2223,2
43,BOU,Bournemouth,2223,3
44,BRE,Brentford,2223,4
45,BHA,Brighton,2223,5
46,CHE,Chelsea,2223,6
47,CRY,Crystal Palace,2223,7
48,EVE,Everton,2223,8
49,FUL,Fulham,2223,9
50,LEI,Leicester,2223,10
51,LEE,Leeds,2223,11
52,LIV,Liverpool,2223,12
53,MCI,Man City,2223,13
54,MUN,Man Utd,2223,14
55,NEW,Newcastle,2223,15
56,NFO,Nott'm Forest,2223,16
57,SOU,Southampton,2223,17
58,TOT,Spurs,2223,18
59,WHU,West Ham,2223,19
60,WOL,Wolves,2223,20
61,ARS,Arsenal,2122,1
62,AVL,Aston Villa,2122,2
63,BRE,Brentford,2122,3
64,BHA,Brighton,2122,4
65,BUR,Burnley,2122,5
66,CHE,Chelsea,2122,6
67,CRY,Crystal Palace,2122,7
68,EVE,Everton,2122,8
69,LEI,Leicester,2122,9
70,LEE,Leeds,2122,10
71,LIV,Liverpool,2122,11
72,MCI,Man City,2122,12
73,MUN,Man Utd,2122,13
74,NEW,Newcastle,2122,14
75,NOR,Norwich,2122,15
76,SOU,Southampton,2122,16
77,TOT,Spurs,2122,17
78,WAT,Watford,2122,18
79,WHU,West Ham,2122,19
80,WOL,Wolves,2122,20
