arch,subarch,arch_dim,fifo,pe,tc,value_reuse,accumulator,nonlinear,vector,total
mugi,vlp,128x8,0.333253041969,0.1107137478844526,0.009576741559508422,0.022466902449375,0.36883672307200005,0.05383739199420417,0.038981051152,0.9376656000805402
mugi,vlp,256x8,0.6632065488690001,0.2214274957689052,0.019153483119016844,0.025355755157625,0.7376734461440001,0.10756336691647084,0.077962102304,1.852342198279018
mugi,lut,128x8,0.333253041969,0.1107137478844526,0.009576741559508422,0.022466902449375,0.36883672307200005,0.5957717731572667,0.038981051152,1.4795999812436027
mugi,lut,256x8,0.6632065488690001,0.2214274957689052,0.019153483119016844,0.025355755157625,0.7376734461440001,1.1914553370715333,0.077962102304,2.9362341684340802
carat,,128x8,0.402543278418,0.1276499225404526,0.023440479505854112,0.030163480331000005,0.41267763725162276,0.0,0.7032666984960001,1.6997414965429296
carat,,256x8,1.1218419234600001,0.2552998450809052,0.046880959011708224,0.037220219771000006,0.801080119370797,0.0,1.4065333969920002,3.668856463686411
systolic,figna,8x8,0.029695815621,0.5864558942399999,0.0,0.0,0.20747065672800002,0.0,0.045365516544000006,0.8689878831329999
systolic,figna,16x16,0.118783262484,2.3627597516159997,0.0,0.0,0.7837780365280002,0.0,0.09073103308800001,3.3560520837159995
simd,figna,8x8,0.029695815621,0.556346859608,0.0,0.0,0.18441836153600003,0.0,0.043954168656000006,0.814415205421
simd,figna,16x16,0.118783262484,2.26866933304,0.0,0.0,0.7376734461440001,0.0,0.08790833731200001,3.21303437898
