Kanji,Reading,Meaning,VocabScore,FillingScore
黄色い,きいろい,yellow,0,0
お手洗い,おてあらい,bathroom,0,0
今週,こんしゅう,this week,0,0
物,もの,thing,0,0
弾く,ひく,"to play an instrument with strings, including piano",0,0
図書館,としょかん,library,0,0
外国人,がいこくじん,Foreigner,0,0
時々,ときどき,sometimes,0,0
冬,ふゆ,winter,0,0
洗濯,せんたく,Washing,0,0
早い,はやい,early,0,0
楽しい,たのしい,enjoyable,0,0
音楽,おんがく,Music,0,0
長い,ながい,long,0,0
鼻,はな,nose,0,0
六つ,むっつ,six,0,0
曲る,まがる,"to turn,to bend",0,0
花,はな,flower,0,0
犬,いぬ,dog,0,0
着く,つく,to arrive at,0,0
橋,はし,bridge,0,0
階段,かいだん,Stairs,0,0
来週,らいしゅう,next week,0,0
大丈夫,だいじょうぶ,all right,0,0
取る,とる,to take something,0,0
警官,けいかん,policeman,0,0
大学,だいがく,university,0,0
晩,ばん,evening,0,0
居る,いる,"to be, to have (used for people and animals)",0,0
家,いえ,house,0,0
遅い,おそい,"late, slow",0,0
猫,ねこ,cat,0,0
帰る,かえる,to go back,0,0
今,いま,now,0,0
待つ,まつ,to wait,0,0
意味,いみ,meaning,0,0
全部,ぜんぶ,All,0,0
電車,でんしゃ,electric train,0,0
買い物,かいもの,Shopping,0,0
大きい,おおきい,big,0,0
緑,みどり,green,0,0
買う,かう,to buy,0,0
生まれる,うまれる,to be born,0,0
足,あし,"foot, leg",0,0
零,れい,zero,0,0
暗い,くらい,Gloomy,0,0
奥さん,おくさん,(honorable) wife,0,0
黄色,きいろ,yellow,0,0
乗る,のる,"to get on,to ride",0,0
今月,こんげつ,this month,0,0
高い,たかい,"tall, expensive",0,0
開く,あく,"to open, to become open",0,0
財布,さいふ,Wallet,0,0
押す,おす,"to push, to stamp something",0,0
軽い,かるい,Light,0,0
医者,いしゃ,medical doctor,0,0
下手,へた,unskillful,0,0
赤い,あかい,red,0,0
短い,みじかい,short,0,0
家庭,かてい,Household,0,0
後ろ,うしろ,behind,0,0
安い,やすい,cheap,0,0
妹,いもうと,(humble) younger sister,0,0
頼む,たのむ,to ask,0,0
料理,りょうり,cuisine,0,0
食べる,たべる,to eat,0,0
賑やか,にぎやか,"bustling,busy",0,0
背広,せびろ,business suit,0,0
上手,じょうず,Skillful,0,0
国,くに,Country,0,0
手紙,てがみ,letter,0,0
茶色,ちゃいろ,brown,0,0
飲む,のむ,to drink,0,0
上げる,あげる,to give,0,0
傘,かさ,Umbrella,0,0
所,ところ,place,0,0
銀行,ぎんこう,Bank,0,0
手,て,hand,0,0
六,ろく,six,0,0
夕方,ゆうがた,evening,0,0
若い,わかい,young,0,0
明い,あかるい,bright,0,0
吹く,ふく,to blow,0,0
夕飯,ゆうはん,dinner,0,0
百,ひゃく,hundred,0,0
遠い,とおい,far,0,0
薬,くすり,medicine,0,0
出かける,でかける,to go out,0,0
天気,てんき,weather,0,0
自転車,じてんしゃ,Bicycle,0,0
撮る,とる,to take a photo or record a film,0,0
消す,けす,"to erase, to turn off power",0,0
明日,あした,tomorrow,0,0
嫌,いや,unpleasant,0,0
嫌い,きらい,Hate,0,0
来る,くる,to come,0,0
留学生,りゅうがくせい,overseas student,0,0
借りる,かりる,to borrow,0,0
散歩,さんぽ,to stroll,0,0
結婚,けっこん,Marriage,0,0
夏休み,なつやすみ,summer holiday,0,0
病院,びょういん,hospital,0,0
果物,くだもの,Fruit,0,0
私,わたくし,"(humble) I,myself",0,0
一昨日,おととい,day before yesterday,0,0
初め,はじめ,beginning,0,0
始め,はじめ,beginning,0,0
木曜日,もくようび,Thursday,0,0
黒,くろ,Black,0,0
海,うみ,sea,0,0
お酒,おさけ,"alcohol, rice wine",0,0
昼,ひる,"noon, daytime",0,0
小さな,ちいさな,little,0,0
作る,つくる,to make,0,0
三,さん,Three,0,0
もう一度,もういちど,again,0,0
差す,さす,"to stretch out hands, to raise an umbrella",0,0
耳,みみ,ear,0,0
消える,きえる,to disappear,0,0
建物,たてもの,building,0,0
出す,だす,to put out,0,0
四日,よっか,"four days, fouth day of the month",0,0
窓,まど,window,0,0
七日,なのか,"seven days,the seventh day",0,0
立つ,たつ,to stand,0,0
本,ほん,book,0,0
砂糖,さとう,Sugar,0,0
塩,しお,Salt,0,0
見せる,みせる,to show,0,0
見る,みる,"to see, to watch",0,0
毎朝,まいあさ,every morning,0,0
知る,しる,to know,0,0
強い,つよい,powerful,0,0
郵便局,ゆうびんきょく,post office,0,0
寝る,ねる,"to go to bed,to sleep",0,0
今日,きょう,Today,0,0
叔母さん,おばさん,Aunt,0,0
毎日,まいにち,every day,0,0
金曜日,きんようび,Friday,0,0
叔父,おじいさん,"grandfather, male senior citizen",0,0
八百屋,やおや,greengrocer,0,0
土曜日,どようび,Saturday,0,0
町,まち,"town,city",0,0
体,からだ,Body,0,0
降りる,おりる,"to get off, to descend",0,0
元気,げんき,"health, vitality",0,0
夜,よる,"evening,night",0,0
並ぶ,ならぶ,"to line up,to stand in a line",0,0
牛肉,ぎゅうにく,Beef,0,0
とり肉,とりにく,chicken meat,0,0
月曜日,げつようび,Monday,0,0
左,ひだり,left hand side,0,0
切る,きる,to cut,0,0
習う,ならう,to learn,0,0
皆さん,みなさん,everyone,0,0
角,かど,a corner,0,0
十,じゅう,Ten,0,0
遊ぶ,あそぶ,"to play, to make a visit",0,0
去年,きょねん,last year,0,0
先,さき,"the future, previous",0,0
休む,やすむ,to rest,0,0
年,とし,year,0,0
