time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,PHASE,lat,lon,relative_alt,nav_roll,nav_pitch,nav_bearing,target_bearing,wp_dist,alt_error,airspeed,groundspeed,throttle,climb,heading,GPS_status,Gyro_status,Accel_status,Baro_status,PreArm_error,chan1_raw,chan2_raw,chan3_raw,chan4_raw,satellites_visible
14:13:23,-0.000259624,0.001782438,0.025839742,0.000146268,0.000420406,0.002377981,STABILIZE,INITIALISATION,-35.3632621,149.1652374,0,-0.000402564,1.85E-05,1,0,0,0.017248746,0,0.022523608,0,-0.001568896,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:24,-0.000341347,0.001609463,0.024857657,8.82E-05,0.000265195,0.00226446,STABILIZE,INITIALISATION,-35.3632622,149.1652375,2.333333333,-0.000402563,1.85E-05,1,0,0,0.007781189,0,0.029924893,0,0.007671443,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:26,-0.000822533,0.001164471,0.023907497,0.000137148,0.000257081,0.002124696,STABILIZE,INITIALISATION,-35.3632622,149.1652375,15,-0.000402563,1.85E-05,1,0,0,-0.003481779,0,0.024710658,0,0.014808153,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:30,-0.001187142,0.000972805,0.022404894,0.000152109,0.000255362,0.001830519,STABILIZE,INITIALISATION,-35.3632621,149.1652374,22,-0.000402565,1.85E-05,1,0,0,-0.013189,0,0.018541662,0,0.018795684,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:34,-0.001080918,0.00095764,0.021349514,0.000157371,0.000293001,0.001634548,STABILIZE,INITIALISATION,-35.3632622,149.1652374,42.5,-0.000402566,1.85E-05,1,0,0,-0.026355947,0,0.020018197,0,0.027145498,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:39,-0.000825324,0.000782916,0.0200174,0.000149722,0.000274175,0.001552222,AUTO,TAKEOFF,-35.3632622,149.1652375,6,-0.000402567,1.85E-05,1,129,0,0,0,0.019373564,0,0.010245575,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:40,-0.000725906,0.000861403,0.019763111,0.000136115,0.000217397,0.001508533,AUTO,TAKEOFF,-35.3632622,149.1652375,5.25,-0.000402567,1.85E-05,1,130.75,0,0,0,0.011381442,0,0.006319251,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:41,-0.000542811,0.001060946,0.019490043,0.000225491,0.000236935,0.001313481,AUTO,TAKEOFF,-35.3632622,149.1652374,3,-0.000402567,1.85E-05,1,131,0,0,0,0.001981457,0,0.001538315,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:42,-0.000319543,0.001327038,0.019193623,0.000182601,0.00024539,0.001481452,AUTO,TAKEOFF,-35.3632622,149.1652374,5.5,0.043406373,-0.037421362,1,128.75,0,0.034947038,0,0.005157681,8.5,0.018634708,1,1,1,1,1,0,1500,1500,1000,1500,10
14:13:43,0.132838814,0.069463401,0.072680105,0.032396315,0.02049178,-0.126546443,AUTO,TAKEOFF,-35.36326105,149.1652353,127,7.20671922,4.435398463,1.5,123.5,0,0.295215346,0.408000016,0.382125147,44,0.401590805,4,1,1,1,1,0,1500,1500,1000,1500,10
14:13:44,0.287104197,0.175910067,0.03737269,0.061916282,0.027854072,-0.094557183,AUTO,TAKEOFF,-35.36325858,149.1652306,888,13.04121661,8.062731504,2,122.75,0,0.294106135,0.371000022,0.255374585,75.75,1.095837444,1.75,1,1,1,1,0,1500,1500,1000,1500,10
14:13:45,0.334031701,0.201470226,-0.000685798,0.013628952,-0.028260188,0.011597183,AUTO,TAKEOFF,-35.3632582,149.1652311,1969,8.908709288,8.21826601,2,127.5,0,-0.002739487,0.215000015,0.298395112,89.5,0.990018874,179.5,1,1,1,1,0,1500,1500,1000,1500,10
14:13:46,0.313141629,0.152725063,-0.000711216,-0.05628067,-0.054185071,0.061193633,AUTO,TAKEOFF,-35.36325825,149.1652358,2935.75,4.163093507,9.229082108,0.75,159.5,0,-0.002762604,0.523250028,0.527531356,89,0.924760923,179.5,1,1,1,1,0,1500,1500,1000,1500,10
14:13:47,0.249805629,0.123548977,0.029948089,-0.090051986,0.009691849,0.031759023,AUTO,TAKEOFF,-35.36325645,149.1652399,3945.5,5.978459835,8.035399199,0,196.5,0,-0.001846771,0.435500026,0.41730848,84,1.050195307,1.5,1,1,1,1,0,1500,1500,1000,1500,10
14:13:48,0.16947592,0.140010491,0.057360016,-0.065515223,0.022823969,0.026215383,AUTO,TAKEOFF,-35.36325348,149.1652391,5084,6.036872387,7.987918377,0,187.25,0.5,-0.0264756,0.478500031,0.550065674,78.5,1.181969076,3,1,1,1,1,0,1500,1500,1000,1500,10
14:13:49,0.150435872,0.190044202,0.072549168,0.0177723,0.071686504,-0.020450054,AUTO,TAKEOFF,-35.36325175,149.165231,6321.5,6.802601099,10.72234631,0.5,154,1,-0.117873836,0.92050004,0.951161474,76,1.219032347,3.5,1,1,1,1,0,1500,1500,1000,1500,10
14:13:50,0.168894827,0.262327906,0.055876457,0.021273878,0.037883451,-0.026987592,AUTO,TAKEOFF,-35.3632535,149.1652198,7533.5,8.040111542,15.33665442,1,121,1.25,-0.186358485,1.147000074,1.155942202,77.5,1.128103763,2.75,1,1,1,1,0,1500,1500,1000,1500,10
14:13:51,0.186265081,0.236783013,0.081529574,0.033921758,-0.05576451,0.066449862,AUTO,TAKEOFF,-35.3632599,149.165209,8633.5,11.96769047,11.74664211,0.5,96.5,2,-0.140797727,1.245500088,1.194041133,81,1.05009228,4.5,1,1,1,1,0,1500,1500,1000,1500,10
14:13:52,0.228380397,0.145018578,0.165001955,0.036437893,-0.037479646,0.086151959,AUTO,TAKEOFF,-35.36326603,149.1652,9743,14.1699388,8.076661944,0,82.75,3,-0.10452194,0.946750045,0.832299665,78.75,1.135438949,9,1,1,1,1,0,1500,1500,1000,1500,10
14:13:53,0.242686495,0.072886759,0.226394385,-0.026821902,-0.089988921,0.122374874,AUTO,TAKEOFF,-35.3632685,149.1651936,10925.5,16.26735401,4.75218159,-1,79.5,3.5,-0.14120727,0.530000016,0.462872371,77.5,1.156875491,12.5,1,1,1,1,0,1500,1500,1000,1500,10
14:13:54,0.250638101,-0.011506045,0.318453565,0.061991037,0.020405756,0.08424121,AUTO,TAKEOFF,-35.36326678,149.1651889,12139.25,19.83029652,1.478426561,-1.5,83,4,-0.207442015,0.611500025,0.648934364,73.75,1.219579965,17.5,1,1,1,1,0,1500,1500,1000,1500,10
14:13:55,0.333935946,0.00750918,0.339742228,0.089352701,0.01129695,-0.018499141,AUTO,TAKEOFF,-35.3632611,149.1651863,13385.5,23.12043571,4.595932603,-0.5,91,4,-0.306055292,0.690000057,0.652018487,74,1.177006483,19,1,1,1,1,0,1500,1500,1000,1500,10
14:13:56,0.399252757,0.022929194,0.316974588,0.025705091,0.001886421,-0.000129407,AUTO,TAKEOFF,-35.36325618,149.1651886,14517.75,23.5391674,7.219577193,0,98.25,4,-0.292936396,0.670250028,0.708514243,80.5,0.999061778,18,1,1,1,1,0,1500,1500,1000,1500,10
