,original_term,search_key,search_result,score,matched_term
0,rdf:type,rdf:type,rdf:type,100,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
1,rdf:type,rdf:Type,rdf:type,100,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
2,rdf:type,rdf:Type,rdf:type,100,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
3,rdfs:Datatype,rdfs:Datatype,rdfs:Datatype,100,http://www.w3.org/2000/01/rdf-schema#Datatype
4,rdfs:Datatype,rdfs:Datatype,rdfs:Datatype,100,http://www.w3.org/2000/01/rdf-schema#Datatype
5,rdfs:Datatype,rdfs:Datatype,rdfs:Datatype,100,http://www.w3.org/2000/01/rdf-schema#Datatype
6,skos:definition,skos:definition,skos:definition,100,http://www.w3.org/2004/02/skos/core#definition
7,skos:definition,skos:Definition,skos:definition,100,http://www.w3.org/2004/02/skos/core#definition
8,skos:definition,skos:Definition,skos:definition,100,http://www.w3.org/2004/02/skos/core#definition
9,rdfs:subclassof,rdfs:subclassof,rdfs:subClassOf,100,http://www.w3.org/2000/01/rdf-schema#subClassOf
10,rdfs:subclassof,rdfs:Subclassof,rdfs:subClassOf,100,http://www.w3.org/2000/01/rdf-schema#subClassOf
11,rdfs:subclassof,rdfs:Subclassof,rdfs:subClassOf,100,http://www.w3.org/2000/01/rdf-schema#subClassOf
12,cco:Person,cco:Person,cco:Person,100,https://www.commoncoreontologies.org/ont00001262
13,cco:Person,cco:Person,cco:Person,100,https://www.commoncoreontologies.org/ont00001262
14,cco:Person,cco:Person,cco:Person,100,https://www.commoncoreontologies.org/ont00001262
