#: table_doi: 10.17182/hepdata.83541.v1/t1
#: name: Table 1
#: description: Expected and observed 95% lower limits on the vector-like top quark mass as a function of the branching ratio, asumming that the vector-like quarks exclusively decay to SM particles (and third generation quarks).
#: data_file: 2DMass_T.yaml
#: keyword reactions: P P --> T T
#: keyword cmenergies: 13000
#: keyword phrases: Vector-like quarks | pair-production | Lower mass limit
#: LUMINOSITY [fb$^{-1}$],36.1
#: Limit,Expected
#: SQRT(S) [GeV],13000
BR(T->Wb),BR(T->Ht),Lower limit on VLQ mass at 95% CL [GeV]
0,0,1359
0,0.05,1356
0,0.1,1352
0,0.15,1347
0,0.2,1342
0,0.25,1338
0,0.3,1334
0,0.35,1330
0,0.4,1327
0,0.45,1323
0,0.5,1321
0,0.55,1319
0,0.6,1317
0,0.65,1316
0,0.7,1316
0,0.75,1317
0,0.8,1319
0,0.85,1322
0,0.9,1325
0,0.95,1331
0,1,1338
0.05,0,1354
0.05,0.05,1352
0.05,0.1,1347
0.05,0.15,1341
0.05,0.2,1337
0.05,0.25,1333
0.05,0.3,1329
0.05,0.35,1325
0.05,0.4,1321
0.05,0.45,1318
0.05,0.5,1315
0.05,0.55,1313
0.05,0.6,1312
0.05,0.65,1311
0.05,0.7,1311
0.05,0.75,1312
0.05,0.8,1315
0.05,0.85,1318
0.05,0.9,1322
0.05,0.95,1331
0.05,1,-
0.1,0,1345
0.1,0.05,1343
0.1,0.1,1338
0.1,0.15,1332
0.1,0.2,1327
0.1,0.25,1323
0.1,0.3,1319
0.1,0.35,1315
0.1,0.4,1311
0.1,0.45,1308
0.1,0.5,1305
0.1,0.55,1303
0.1,0.6,1302
0.1,0.65,1302
0.1,0.7,1302
0.1,0.75,1304
0.1,0.8,1307
0.1,0.85,1311
0.1,0.9,1322
0.1,0.95,-
0.1,1,-
0.15,0,1336
0.15,0.05,1334
0.15,0.1,1328
0.15,0.15,1323
0.15,0.2,1318
0.15,0.25,1313
0.15,0.3,1309
0.15,0.35,1304
0.15,0.4,1301
0.15,0.45,1296
0.15,0.5,1292
0.15,0.55,1289
0.15,0.6,1287
0.15,0.65,1290
0.15,0.7,1290
0.15,0.75,1294
0.15,0.8,1300
0.15,0.85,1311
0.15,0.9,-
0.15,0.95,-
0.15,1,-
0.2,0,1328
0.2,0.05,1325
0.2,0.1,1319
0.2,0.15,1314
0.2,0.2,1309
0.2,0.25,1304
0.2,0.3,1298
0.2,0.35,1291
0.2,0.4,1285
0.2,0.45,1280
0.2,0.5,1276
0.2,0.55,1274
0.2,0.6,1273
0.2,0.65,1276
0.2,0.7,1279
0.2,0.75,1284
0.2,0.8,1300
0.2,0.85,-
0.2,0.9,-
0.2,0.95,-
0.2,1,-
0.25,0,1319
0.25,0.05,1317
0.25,0.1,1311
0.25,0.15,1304
0.25,0.2,1299
0.25,0.25,1290
0.25,0.3,1282
0.25,0.35,1276
0.25,0.4,1269
0.25,0.45,1265
0.25,0.5,1262
0.25,0.55,1261
0.25,0.6,1261
0.25,0.65,1264
0.25,0.7,1269
0.25,0.75,1284
0.25,0.8,-
0.25,0.85,-
0.25,0.9,-
0.25,0.95,-
0.25,1,-
0.3,0,1312
0.3,0.05,1309
0.3,0.1,1303
0.3,0.15,1293
0.3,0.2,1283
0.3,0.25,1275
0.3,0.3,1267
0.3,0.35,1261
0.3,0.4,1255
0.3,0.45,1252
0.3,0.5,1249
0.3,0.55,1249
0.3,0.6,1251
0.3,0.65,1255
0.3,0.7,1269
0.3,0.75,-
0.3,0.8,-
0.3,0.85,-
0.3,0.9,-
0.3,0.95,-
0.3,1,-
0.35,0,1304
0.35,0.05,1301
0.35,0.1,1291
0.35,0.15,1280
0.35,0.2,1270
0.35,0.25,1262
0.35,0.3,1254
0.35,0.35,1248
0.35,0.4,1243
0.35,0.45,1242
0.35,0.5,1239
0.35,0.55,1240
0.35,0.6,1243
0.35,0.65,1255
0.35,0.7,-
0.35,0.75,-
0.35,0.8,-
0.35,0.85,-
0.35,0.9,-
0.35,0.95,-
0.35,1,-
0.4,0,1295
0.4,0.05,1289
0.4,0.1,1277
0.4,0.15,1267
0.4,0.2,1257
0.4,0.25,1249
0.4,0.3,1242
0.4,0.35,1237
0.4,0.4,1232
0.4,0.45,1231
0.4,0.5,1231
0.4,0.55,1233
0.4,0.6,1243
0.4,0.65,-
0.4,0.7,-
0.4,0.75,-
0.4,0.8,-
0.4,0.85,-
0.4,0.9,-
0.4,0.95,-
0.4,1,-
0.45,0,1284
0.45,0.05,1279
0.45,0.1,1267
0.45,0.15,1257
0.45,0.2,1248
0.45,0.25,1240
0.45,0.3,1233
0.45,0.35,1228
0.45,0.4,1225
0.45,0.45,1224
0.45,0.5,1225
0.45,0.55,1233
0.45,0.6,-
0.45,0.65,-
0.45,0.7,-
0.45,0.75,-
0.45,0.8,-
0.45,0.85,-
0.45,0.9,-
0.45,0.95,-
0.45,1,-
0.5,0,1275
0.5,0.05,1269
0.5,0.1,1258
0.5,0.15,1248
0.5,0.2,1239
0.5,0.25,1231
0.5,0.3,1225
0.5,0.35,1221
0.5,0.4,1219
0.5,0.45,1219
0.5,0.5,1225
0.5,0.55,-
0.5,0.6,-
0.5,0.65,-
0.5,0.7,-
0.5,0.75,-
0.5,0.8,-
0.5,0.85,-
0.5,0.9,-
0.5,0.95,-
0.5,1,-
0.55,0,1268
0.55,0.05,1263
0.55,0.1,1252
0.55,0.15,1242
0.55,0.2,1233
0.55,0.25,1227
0.55,0.3,1221
0.55,0.35,1220
0.55,0.4,1218
0.55,0.45,1219
0.55,0.5,-
0.55,0.55,-
0.55,0.6,-
0.55,0.65,-
0.55,0.7,-
0.55,0.75,-
0.55,0.8,-
0.55,0.85,-
0.55,0.9,-
0.55,0.95,-
0.55,1,-
0.6,0,1263
0.6,0.05,1257
0.6,0.1,1247
0.6,0.15,1238
0.6,0.2,1229
0.6,0.25,1223
0.6,0.3,1219
0.6,0.35,1218
0.6,0.4,1218
0.6,0.45,-
0.6,0.5,-
0.6,0.55,-
0.6,0.6,-
0.6,0.65,-
0.6,0.7,-
0.6,0.75,-
0.6,0.8,-
0.6,0.85,-
0.6,0.9,-
0.6,0.95,-
0.6,1,-
0.65,0,1261
0.65,0.05,1256
0.65,0.1,1246
0.65,0.15,1236
0.65,0.2,1229
0.65,0.25,1224
0.65,0.3,1221
0.65,0.35,1218
0.65,0.4,-
0.65,0.45,-
0.65,0.5,-
0.65,0.55,-
0.65,0.6,-
0.65,0.65,-
0.65,0.7,-
0.65,0.75,-
0.65,0.8,-
0.65,0.85,-
0.65,0.9,-
0.65,0.95,-
0.65,1,-
0.7,0,1261
0.7,0.05,1256
0.7,0.1,1246
0.7,0.15,1238
0.7,0.2,1231
0.7,0.25,1227
0.7,0.3,1221
0.7,0.35,-
0.7,0.4,-
0.7,0.45,-
0.7,0.5,-
0.7,0.55,-
0.7,0.6,-
0.7,0.65,-
0.7,0.7,-
0.7,0.75,-
0.7,0.8,-
0.7,0.85,-
0.7,0.9,-
0.7,0.95,-
0.7,1,-
0.75,0,1265
0.75,0.05,1261
0.75,0.1,1251
0.75,0.15,1246
0.75,0.2,1239
0.75,0.25,1227
0.75,0.3,-
0.75,0.35,-
0.75,0.4,-
0.75,0.45,-
0.75,0.5,-
0.75,0.55,-
0.75,0.6,-
0.75,0.65,-
0.75,0.7,-
0.75,0.75,-
0.75,0.8,-
0.75,0.85,-
0.75,0.9,-
0.75,0.95,-
0.75,1,-
0.8,0,1270
0.8,0.05,1266
0.8,0.1,1258
0.8,0.15,1252
0.8,0.2,1239
0.8,0.25,-
0.8,0.3,-
0.8,0.35,-
0.8,0.4,-
0.8,0.45,-
0.8,0.5,-
0.8,0.55,-
0.8,0.6,-
0.8,0.65,-
0.8,0.7,-
0.8,0.75,-
0.8,0.8,-
0.8,0.85,-
0.8,0.9,-
0.8,0.95,-
0.8,1,-
0.85,0,1280
0.85,0.05,1278
0.85,0.1,1269
0.85,0.15,1252
0.85,0.2,-
0.85,0.25,-
0.85,0.3,-
0.85,0.35,-
0.85,0.4,-
0.85,0.45,-
0.85,0.5,-
0.85,0.55,-
0.85,0.6,-
0.85,0.65,-
0.85,0.7,-
0.85,0.75,-
0.85,0.8,-
0.85,0.85,-
0.85,0.9,-
0.85,0.95,-
0.85,1,-
0.9,0,1291
0.9,0.05,1288
0.9,0.1,1269
