CropCode,Pervious Year,PlantingMon_First,PlantingDay_First,PlantingMon_Last,PlantingDay_Last,HarvestMon_First,HarvestDay_First,HarvestMon_Last,HarvestDay_Last,Growing_Days,HarvestEfficiency,HarvestType,HarvestIndexOverride,CNOP,StoverFraction,IsGrain,PRCOP
1,0,5,8,5,21,9,24,10,7,139,0.85,2,0,1,0,1,1
5,0,5,1,5,14,9,1,9,14,123,0.85,2,0,1,0,1,1
12,0,1,1,1,1,12,31,12,31,365,0.85,2,0,1,0,0,1
19,0,5,17,5,21,10,1,10,14,137,0.8,2,0,1,0,0,1
27,0,5,8,5,21,8,25,9,7,109,0.85,2,0,1,0,1,1
30,0,5,8,5,21,8,25,9,7,109,0.85,2,0,1,0,1,1
31,0,5,8,5,21,8,25,9,7,109,0.85,2,0,1,0,1,1
32,0,5,8,5,21,8,25,9,7,109,0.85,2,0,1,0,1,1
28,1,9,8,9,22,8,18,8,31,344,0.85,2,0,1,0,1,1
34,0,5,17,5,31,7,25,8,7,69,0.7,2,0,1,0,1,1
52,0,5,1,5,14,7,25,8,7,85,0.85,2,0,1,0,1,1
56,0,5,17,5,21,10,1,10,14,137,0.75,2,0,1,0,0,1
60,0,5,17,5,21,10,1,10,14,137,0.75,2,0,1,0,0,1
63,0,5,8,5,21,8,16,8,30,100,0.7,2,0,1,0,0,1
65,0,5,8,5,21,9,24,10,7,139,0.7,2,0,1,0,1,1
74,0,5,8,5,21,10,8,10,21,153,0.75,2,0,1,0,0,1
76,0,5,17,5,31,9,24,10,7,130,0.7,2,0,1,0,0,1
84,0,5,25,6,7,9,24,10,7,122,0.7,2,0,1,0,0,1
92,0,5,8,5,21,9,24,10,7,139,0.7,2,0,1,0,0,1
70,0,5,8,5,21,9,24,10,7,139,0.7,2,0,1,0,0,1
26,0,5,8,5,21,9,24,10,7,139,0.7,2,0,1,0,0,1
98,0,1,1,1,1,12,31,12,31,365,0.85,2,0,1,0,0,1
