# NNLO + N3LL: NNLOJET + RADISH
# x[1] y_ctr[2] y_min[3] y_max[4]
2.000000e-03 8.205025e+00 6.499699e+00 9.456971e+00
6.000000e-03 6.534242e+00 6.260795e+00 9.911219e+00
1.000000e-02 7.252044e+00 6.576391e+00 7.805076e+00
1.400000e-02 7.026204e+00 6.107600e+00 7.633335e+00
1.800000e-02 6.866140e+00 6.806630e+00 7.742222e+00
2.200000e-02 6.874457e+00 6.369436e+00 7.281763e+00
2.650000e-02 6.600091e+00 6.584281e+00 7.022864e+00
3.150000e-02 6.676578e+00 6.565972e+00 6.822424e+00
3.650000e-02 5.703990e+00 5.703990e+00 6.238391e+00
4.200000e-02 5.773731e+00 5.768204e+00 5.916905e+00
4.800000e-02 5.443647e+00 5.297969e+00 5.480472e+00
5.400000e-02 5.204940e+00 5.118838e+00 5.204940e+00
6.050000e-02 4.777656e+00 4.741161e+00 4.946958e+00
6.800000e-02 4.431846e+00 4.385174e+00 4.455523e+00
7.650000e-02 4.119561e+00 4.014432e+00 4.119561e+00
8.600000e-02 3.617724e+00 3.617724e+00 3.735518e+00
9.650000e-02 3.338528e+00 3.232955e+00 3.372303e+00
1.080000e-01 2.887333e+00 2.832395e+00 2.916274e+00
1.210000e-01 2.505862e+00 2.461450e+00 2.577765e+00
1.365000e-01 2.265951e+00 2.126530e+00 2.265951e+00
1.550000e-01 1.846127e+00 1.777312e+00 1.863334e+00
1.770000e-01 1.572242e+00 1.472834e+00 1.572242e+00
2.040000e-01 1.239665e+00 1.179450e+00 1.248119e+00
2.385000e-01 9.557622e-01 9.049980e-01 9.557622e-01
2.850000e-01 6.916369e-01 6.518426e-01 6.916369e-01
3.515000e-01 4.748882e-01 4.471753e-01 4.748882e-01
4.575000e-01 2.921082e-01 2.729881e-01 2.921082e-01
6.095000e-01 1.619058e-01 1.511715e-01 1.620544e-01
8.065000e-01 9.189785e-02 8.402372e-02 9.189785e-02
1.035500e+00 5.111194e-02 4.736125e-02 5.111194e-02
1.324500e+00 2.819207e-02 2.579249e-02 2.819207e-02
1.721500e+00 1.396325e-02 1.284677e-02 1.396325e-02
2.234500e+00 6.561557e-03 6.026322e-03 6.561557e-03
2.899500e+00 3.062656e-03 2.802068e-03 3.062656e-03
