# NNLO + N3LL: NNLOJET + RADISH
# x[1] y_ctr[2] y_min[3] y_max[4]
2.000000e-03 7.601355e+00 6.657360e+00 8.820873e+00
6.000000e-03 7.224918e+00 6.332232e+00 9.069157e+00
1.000000e-02 6.750354e+00 5.826448e+00 7.780188e+00
1.400000e-02 6.633301e+00 6.633301e+00 7.566442e+00
1.800000e-02 7.142316e+00 6.676618e+00 7.758436e+00
2.200000e-02 6.559459e+00 6.261893e+00 7.094822e+00
2.650000e-02 6.571810e+00 6.256532e+00 6.898616e+00
3.150000e-02 6.393232e+00 5.874051e+00 6.577958e+00
3.650000e-02 5.732879e+00 5.732879e+00 6.123932e+00
4.200000e-02 5.695721e+00 5.660519e+00 5.946199e+00
4.800000e-02 5.420981e+00 5.342988e+00 5.586322e+00
5.400000e-02 5.023047e+00 5.007852e+00 5.074487e+00
6.050000e-02 4.764038e+00 4.713260e+00 4.783780e+00
6.800000e-02 4.372803e+00 4.285543e+00 4.428397e+00
7.650000e-02 3.963372e+00 3.896726e+00 4.000749e+00
8.600000e-02 3.689280e+00 3.530659e+00 3.706447e+00
9.650000e-02 3.176992e+00 3.132368e+00 3.211575e+00
1.080000e-01 2.798520e+00 2.741197e+00 2.911791e+00
1.210000e-01 2.550634e+00 2.428024e+00 2.561013e+00
1.365000e-01 2.178129e+00 2.097589e+00 2.209425e+00
1.550000e-01 1.852157e+00 1.772313e+00 1.864391e+00
1.770000e-01 1.487207e+00 1.434956e+00 1.556695e+00
2.040000e-01 1.214600e+00 1.158950e+00 1.223264e+00
2.385000e-01 9.448634e-01 8.989681e-01 9.516576e-01
2.850000e-01 6.930107e-01 6.605950e-01 6.983127e-01
3.515000e-01 4.857146e-01 4.580463e-01 4.857146e-01
4.575000e-01 2.965130e-01 2.824010e-01 2.965130e-01
6.095000e-01 1.697775e-01 1.614373e-01 1.697775e-01
8.065000e-01 9.870894e-02 9.375638e-02 9.870894e-02
1.035500e+00 5.752777e-02 5.433399e-02 5.752777e-02
1.324500e+00 3.269248e-02 3.129500e-02 3.269248e-02
1.721500e+00 1.730556e-02 1.654547e-02 1.734582e-02
2.234500e+00 9.069608e-03 8.597203e-03 9.069608e-03
2.899500e+00 4.651554e-03 4.448244e-03 4.651554e-03
