SOILCODE,SNAM,KS0,DEPTH0,POROSITY0,FC0,P_INDEX0,RM0,WP0,B_DENSITY0,SAND0,CLAY0,SILT0,USLE_K0,INTERFLOW_SCALE_FACTOR0,KS1,DEPTH1,POROSITY1,FC1,P_INDEX1,RM1,WP1,B_DENSITY1,SAND1,CLAY1,SILT1,USLE_K1,INTERFLOW_SCALE_FACTOR1,KS2,POROSITY2,FC2,P_INDEX2,RM2,WP2,B_DENSITY2,SAND2,CLAY2,SILT2,USLE_K2,INTERFLOW_SCALE_FACTOR2,TEXTURE,HG
1,ALUL,4.94,10,0.463,0.232,5.77,0.027,0.116,1.08,15,25,60,0.3,1,4.94,100,0.463,0.232,5.77,0.027,0.116,1.08,15,25,60,0.3,1,2.3,0.3473,0.174,4.3275,0.0203,0.087,1.0675,16,19,39,0.225,1,6,3
2,ALUSICL,4.94,10,0.471,0.342,8.32,0.04,0.21,1.08,15,25,60,0.32,1,4.94,100,0.471,0.342,8.32,0.04,0.21,1.08,15,25,60,0.32,1,2.3,0.3533,0.2565,6.24,0.03,0.1575,1.0675,16,19,39,0.24,1,8,3
3,ALUSIL,4.94,10,0.501,0.284,4.98,0.015,0.135,1.08,15,25,60,0.38,1,4.94,100,0.501,0.284,4.98,0.015,0.135,1.08,15,25,60,0.38,1,2.3,0.3758,0.213,3.735,0.0113,0.1013,1.0675,16,19,39,0.285,1,4,3
4,ALUSILC,4.94,10,0.501,0.284,4.98,0.015,0.135,1.08,46,16,38,0.38,1,4.94,100,0.501,0.284,4.98,0.015,0.135,1.08,46,16,38,0.38,1,2.3,0.3758,0.213,3.735,0.0113,0.1013,1.0675,55,5,14,0.285,1,4,3
5,AYRCLF,5.51,10,0.464,0.31,8.32,0.075,0.187,1.09,42,48,10,0.3,1,5.51,103,0.464,0.31,8.32,0.075,0.187,1.09,42,48,10,0.3,1,10.63,0.348,0.2325,6.24,0.0563,0.1403,1.1075,49,21,4,0.225,1,9,3
6,AYRSL,20.82,10,0.453,0.19,4.5,0.041,0.085,1.09,53,14,33,0.13,1,20.82,103,0.453,0.19,4.5,0.041,0.085,1.09,53,14,33,0.13,1,18.29,0.3398,0.1425,3.375,0.0308,0.0638,1.1075,51,8,16,0.0975,1,3,3
7,BAYLL,31.43,10,0.463,0.232,5.77,0.027,0.116,1.06,50,12,38,0.3,1,31.43,100,0.463,0.232,5.77,0.027,0.116,1.06,50,12,38,0.3,1,10.685,0.3473,0.174,4.3275,0.0203,0.087,1.0925,35,10,28,0.225,1,6,2
8,BAYLS,31.43,10,0.437,0.105,3.86,0.035,0.047,1.06,61,12,27,0.04,1,31.43,100,0.437,0.105,3.86,0.035,0.047,1.06,61,12,27,0.04,1,10.685,0.3278,0.0788,2.895,0.0263,0.0353,1.0925,47,10,17,0.03,1,2,2
9,BAYSL,31.43,10,0.453,0.19,4.5,0.041,0.085,1.06,61,12,27,0.13,1,31.43,100,0.453,0.19,4.5,0.041,0.085,1.06,61,12,27,0.13,1,10.685,0.3398,0.1425,3.375,0.0308,0.0638,1.0925,47,10,17,0.0975,1,3,2
10,BFOLL,3.6,10,0.463,0.232,5.77,0.027,0.116,1.33,40,38,22,0.3,1,3.6,100,0.463,0.232,5.77,0.027,0.116,1.33,40,38,22,0.3,1,1.8325,0.3473,0.174,4.3275,0.0203,0.087,1.0875,11,23,40,0.225,1,6,3
11,BFOSICL,3.6,10,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,3.6,100,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,1.8325,0.3533,0.2565,6.24,0.03,0.1575,1.0875,9,22,43,0.24,1,8,3
12,BFOSICLSH,3.6,10,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,3.6,100,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,1.8325,0.3533,0.2565,6.24,0.03,0.1575,1.0875,9,22,43,0.24,1,8,2
13,BFOSIL,3.6,10,0.501,0.284,4.98,0.015,0.135,1.33,34,38,28,0.38,1,3.6,100,0.501,0.284,4.98,0.015,0.135,1.33,34,38,28,0.38,1,1.8325,0.3758,0.213,3.735,0.0113,0.1013,1.0875,9,22,43,0.285,1,4,3
14,BFOSLC,3.6,10,0.453,0.19,4.5,0.041,0.085,1.33,45,33,22,0.13,1,3.6,100,0.453,0.19,4.5,0.041,0.085,1.33,45,33,22,0.13,1,1.8325,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,12,22,40,0.0975,1,3,3
15,BFOSLV,7.75,10,0.453,0.19,4.5,0.041,0.085,0.89,19,20,61,0.13,1,7.75,100,0.453,0.19,4.5,0.041,0.085,0.89,19,20,61,0.13,1,2.025,0.3775,0.1583,3.75,0.0342,0.0708,1.195,12,34,36,0.1083,1,3,3
16,BKNCL,3.36,10,0.464,0.31,8.32,0.075,0.187,1.27,16,37,47,0.3,1,3.36,100,0.464,0.31,8.32,0.075,0.187,1.27,16,37,47,0.3,1,1.1633,0.3093,0.2067,5.5467,0.05,0.1247,1.0267,9,31,26,0.2,1,9,4
17,BKNSIL,3.36,10,0.501,0.284,4.98,0.015,0.135,1.27,16,37,47,0.38,1,3.36,100,0.501,0.284,4.98,0.015,0.135,1.27,16,37,47,0.38,1,1.1633,0.334,0.1893,3.32,0.01,0.09,1.0267,9,31,26,0.2533,1,4,4
18,BNGLT,6.32,10,0.463,0.232,5.77,0.027,0.116,1.32,34,18,48,0.3,1,6.32,100,0.463,0.232,5.77,0.027,0.116,1.32,34,18,48,0.3,1,2.8725,0.3473,0.174,4.3275,0.0203,0.087,1.0925,24,20,29,0.225,1,6,2
