XMT-name	Database-name
Albite	PlHP_abh
Amphibole	Camp
Amphibole	Camp_Prgm
Amphibole	Camp_Tr
Amphibole	anth
Amphibole	cumm
Amphibole	fact
Amphibole	fanth
Amphibole	grun
Amphibole	rieb
Amphibole	ts
Glaucophane	Camp_glm
Andalusite	and
Anorthite	PlHP_an
Aragonite	arag
Biotite	Bio
Brucite	br
Calcite	cc
Chlorite	CHL14
Chloritoid	CTD14
Chloritoid	CTD14_mctd
Chloritoid	CTD14_fctd
Chloritoid	CTD14_mnct
Chloritoid	CTD14_ctdo
Clinopyroxene	Cpx
Clinopyroxene	Cpx_Di
Coesite	coe
Cordierite	cor
Dolomite	dol
Epidote	ep
Epidote	EP11_ep
Epidote	EP11_fep
Garnet	GRT
Garnet	Spss
Garnet	spss
Hematite	hem
Ilmenite	ilm
Kfeldspar	fspr
Kyanite	ky
Lawsonite	law
Magnesite	mag
Magnetite	mt
Muscovite	WM_mu
Olivine	fa
Olivine	fo
Omphacite	Cpx_Om
Orthopyroxene	Opx
Paragonite	WM_pa
Phengite	WM_cel
Quartz	q
Rutile	ru
Serpentine	atg
Sillimanite	sill
Spinel	sp
Staurolite	ST14_fst
Staurolite	fst
Stilpnomelane	STlp
Talc	fta
Talc	ta
Talc	tap
Talc	tats
Tremolite	Camp_tr
Titanite	sph
Zircon	zrc
Zoisite	zo
Zoisite	EP11_cz
