xmin	xmax	cross	max	min	tag
0	4	     198.683	     228.719	     157.151	N3LLp-mtgg
4	8	     410.482	     445.578	     370.094	N3LLp-mtgg
8	12	     428.445	     474.193	      395.75	N3LLp-mtgg
12	16	     367.429	     408.649	     338.425	N3LLp-mtgg
16	20	     298.359	     328.491	     277.606	N3LLp-mtgg
20	25	      232.58	     252.975	     217.221	N3LLp-mtgg
25	30	     176.943	     193.704	     164.478	N3LLp-mtgg
30	35	     139.816	     154.347	     128.676	N3LLp-mtgg
35	40	     112.335	     124.661	     102.755	N3LLp-mtgg
40	45	     91.4834	     101.924	     83.3116	N3LLp-mtgg
45	50	     76.7278	     85.7022	     69.6688	N3LLp-mtgg
50	55	     65.2815	     73.0773	     59.1407	N3LLp-mtgg
55	60	     56.2826	     63.2578	     50.7869	N3LLp-mtgg
60	65	     50.9775	     57.3827	     45.9302	N3LLp-mtgg
65	70	     47.1267	     53.2477	     42.3238	N3LLp-mtgg
70	75	     44.4597	     50.4966	     39.7518	N3LLp-mtgg
75	80	     40.9447	     46.4687	     36.6077	N3LLp-mtgg
80	90	      32.229	     36.7707	     28.6686	N3LLp-mtgg
90	100	     22.9392	      26.198	     20.3778	N3LLp-mtgg
100	110	     16.4045	     18.7323	     14.5707	N3LLp-mtgg
110	120	     11.9657	     13.6593	     10.6262	N3LLp-mtgg
120	130	     8.74714	     10.0061	     7.75016	N3LLp-mtgg
130	140	     6.64438	     7.55974	     5.91562	N3LLp-mtgg
140	150	     4.99304	     5.70345	     4.42559	N3LLp-mtgg
150	175	     3.26817	     3.71809	     2.90593	N3LLp-mtgg
175	200	     1.74494	     1.99251	     1.54367	N3LLp-mtgg
200	225	     1.03493	     1.17514	    0.919657	N3LLp-mtgg
225	250	    0.620878	    0.704661	    0.551157	N3LLp-mtgg
250	300	    0.327201	    0.370705	    0.290789	N3LLp-mtgg
300	400	     0.10317	    0.116754	   0.0915224	N3LLp-mtgg
400	750	   0.0104517	   0.0117721	  0.00928464	N3LLp-mtgg
0	4	     226.766	     250.803	     202.502	ATLAS
4	8	     432.598	     467.638	     397.125	ATLAS
8	12	     464.252	     504.178	     425.255	ATLAS
12	16	     416.369	     453.842	      377.23	ATLAS
16	20	      349.71	     380.834	     318.236	ATLAS
20	25	     283.357	     306.876	     258.422	ATLAS
25	30	     215.462	     234.854	      193.27	ATLAS
30	35	     182.115	     198.324	     166.636	ATLAS
35	40	     148.525	     162.189	     134.118	ATLAS
40	45	     127.555	     139.928	     113.524	ATLAS
45	50	      100.99	      111.19	     89.8808	ATLAS
50	55	     91.5687	     100.359	     81.8624	ATLAS
55	60	      78.875	     88.1034	     69.7255	ATLAS
60	65	     67.8984	     76.7252	     58.8679	ATLAS
65	70	      68.454	     77.4899	      59.555	ATLAS
70	75	     65.0492	     74.0911	     56.2025	ATLAS
75	80	     60.2837	     68.6029	     52.2057	ATLAS
80	90	     45.9426	     50.7207	      40.889	ATLAS
90	100	     33.1929	     36.6449	     29.5748	ATLAS
100	110	     25.5886	     28.0707	     22.8762	ATLAS
110	120	     17.1038	     19.0536	     15.0513	ATLAS
120	130	     11.5067	      12.968	     9.98781	ATLAS
130	140	     10.2993	     11.5043	     9.03244	ATLAS
140	150	     6.47396	     7.32852	     5.49639	ATLAS
150	175	     4.61549	     5.12781	     4.07548	ATLAS
175	200	     2.35414	     2.71197	     1.97277	ATLAS
200	225	     1.38355	     1.59385	     1.13036	ATLAS
225	250	    0.976564	     1.11817	    0.832033	ATLAS
250	300	    0.430989	    0.510722	    0.338757	ATLAS
300	400	    0.112191	    0.139229	   0.0829089	ATLAS
400	750	   0.0127233	   0.0169729	  0.00818108	ATLAS
0	4	     177.486	     210.948	     89.2896	N3LLp-ptg
4	8	     416.634	     446.808	     377.406	N3LLp-ptg
8	12	     447.363	     496.075	     410.468	N3LLp-ptg
12	16	     386.307	     431.837	     353.043	N3LLp-ptg
16	20	     312.345	     347.967	     286.948	N3LLp-ptg
20	25	     246.115	     271.394	     226.856	N3LLp-ptg
25	30	     190.057	     210.729	     174.707	N3LLp-ptg
30	35	     151.112	     169.984	     136.881	N3LLp-ptg
35	40	     122.702	     138.944	     110.365	N3LLp-ptg
40	45	      101.02	     114.428	     90.7696	N3LLp-ptg
45	50	     85.8378	     97.4254	     76.9566	N3LLp-ptg
50	55	     74.1462	     83.8551	     66.6782	N3LLp-ptg
55	60	     64.4246	     73.4736	      57.507	N3LLp-ptg
60	65	     57.3776	      65.912	     50.8672	N3LLp-ptg
65	70	     53.2146	     61.0676	     47.2483	N3LLp-ptg
70	75	     51.2027	     59.4363	     45.0105	N3LLp-ptg
75	80	     47.0043	     54.0379	     41.6906	N3LLp-ptg
80	90	     37.1837	     42.8581	     32.8958	N3LLp-ptg
90	100	     27.0506	     31.1486	     23.9436	N3LLp-ptg
100	110	     19.2025	     22.0769	     17.0216	N3LLp-ptg
110	120	     14.2127	     16.4653	     12.4989	N3LLp-ptg
120	130	     10.1527	     11.7026	     8.96946	N3LLp-ptg
130	140	     7.60651	     8.77278	      6.7122	N3LLp-ptg
