xmin	xmax	cross	max	min	tag
0	0.004	     53455.2	     69459.4	     34277.5	N3LLp-mtgg
0.004	0.008	     99313.1	      107578	     89948.4	N3LLp-mtgg
0.008	0.012	      104256	      111881	     95613.3	N3LLp-mtgg
0.012	0.016	      104287	      111751	     95559.9	N3LLp-mtgg
0.016	0.02	      100533	      107598	     92247.1	N3LLp-mtgg
0.02	0.024	     97476.8	      104888	     89920.2	N3LLp-mtgg
0.024	0.029	     89391.5	     96771.6	     82567.6	N3LLp-mtgg
0.029	0.034	     85421.3	       92721	     79407.9	N3LLp-mtgg
0.034	0.039	     79374.2	     86047.4	     74051.7	N3LLp-mtgg
0.039	0.045	     72168.6	     78654.3	     67150.8	N3LLp-mtgg
0.045	0.051	       68469	     74390.6	     63981.6	N3LLp-mtgg
0.051	0.057	     63210.8	     68860.6	     59085.9	N3LLp-mtgg
0.057	0.064	     58420.6	     63761.3	     54519.1	N3LLp-mtgg
0.064	0.072	     55688.4	     60758.2	     52029.5	N3LLp-mtgg
0.072	0.081	     49073.8	     53763.7	     45715.4	N3LLp-mtgg
0.081	0.091	     45582.1	     50104.4	     42334.8	N3LLp-mtgg
0.091	0.102	     41545.2	     45841.3	     38499.3	N3LLp-mtgg
0.102	0.114	     37958.1	     41899.1	     35156.9	N3LLp-mtgg
0.114	0.128	     33031.7	     36592.2	     30516.1	N3LLp-mtgg
0.128	0.145	     29106.7	     32360.4	     26810.2	N3LLp-mtgg
0.145	0.165	     25210.4	     27965.6	     23279.1	N3LLp-mtgg
0.165	0.189	       21431	     23776.1	     19779.4	N3LLp-mtgg
0.189	0.219	     17152.5	     18919.5	       15781	N3LLp-mtgg
0.219	0.258	     13234.9	       14884	     11977.2	N3LLp-mtgg
0.258	0.312	      9825.5	     11149.7	      8795.9	N3LLp-mtgg
0.312	0.391	     6793.44	     7727.05	     6067.29	N3LLp-mtgg
0.391	0.524	     4160.65	     4747.55	     3705.18	N3LLp-mtgg
0.524	0.695	     2388.43	      2732.5	     2122.11	N3LLp-mtgg
0.695	0.918	     1385.76	      1585.7	     1231.27	N3LLp-mtgg
0.918	1.153	     832.216	     959.691	     733.528	N3LLp-mtgg
1.153	1.496	     530.873	     614.075	     466.682	N3LLp-mtgg
1.496	1.947	     317.892	      371.75	     276.579	N3LLp-mtgg
1.947	2.522	     189.165	     221.451	       164.4	N3LLp-mtgg
2.522	3.277	     116.402	     135.804	     101.558	N3LLp-mtgg
3.277	5	     60.0701	      70.463	     52.1392	N3LLp-mtgg
5	10	     14.9498	     17.5482	     12.9678	N3LLp-mtgg
10	20	     2.90608	     3.45832	     2.48105	N3LLp-mtgg
20	50	    0.582817	    0.677438	    0.509695	N3LLp-mtgg
50	100	    0.100668	    0.117629	   0.0875373	N3LLp-mtgg
100	50000	 9.86542e-05	 0.000115603	 8.56291e-05	N3LLp-mtgg
0	0.004	      113793	      125855	     99910.4	ATLAS
0.004	0.008	      111160	      122943	     98376.3	ATLAS
0.008	0.012	      104912	      116452	     92532.2	ATLAS
0.012	0.016	      107355	      119809	     95116.9	ATLAS
0.016	0.02	     93214.3	      104400	     80630.4	ATLAS
0.02	0.024	      100293	      112730	     87957.2	ATLAS
0.024	0.029	     93482.4	      104700	       81984	ATLAS
0.029	0.034	     88417.8	     98851.1	     77896.1	ATLAS
0.034	0.039	     85577.4	     95675.5	     75479.3	ATLAS
0.039	0.045	     77200.6	     85924.2	     67704.9	ATLAS
0.045	0.051	     73231.5	     82312.2	     64736.6	ATLAS
0.051	0.057	     70744.2	     78738.3	     60627.7	ATLAS
0.057	0.064	     66942.8	     74105.6	     59913.8	ATLAS
0.064	0.072	     62067.6	     68770.9	     54681.6	ATLAS
0.072	0.081	     57812.9	     63767.7	     51742.6	ATLAS
0.081	0.091	     48608.5	     53663.7	     42678.2	ATLAS
0.091	0.102	     47391.2	     52319.9	     42272.9	ATLAS
0.102	0.114	     45163.4	     49544.2	     40782.5	ATLAS
0.114	0.128	     38440.1	     42284.1	     34096.4	ATLAS
0.128	0.145	     34780.9	       38259	     31407.2	ATLAS
0.145	0.165	     29783.5	     32761.9	     26954.1	ATLAS
0.165	0.189	     26465.2	     28979.4	     23501.1	ATLAS
0.189	0.219	     20917.6	     22883.9	       18784	ATLAS
0.219	0.258	     17519.3	     19113.5	     15942.5	ATLAS
0.258	0.312	       13666	       14855	     12354.1	ATLAS
0.312	0.391	     9480.59	     10305.4	     8636.82	ATLAS
0.391	0.524	     6059.43	     6574.48	     5489.84	ATLAS
0.524	0.695	     3411.56	     3715.19	     3097.69	ATLAS
0.695	0.918	     2011.44	     2198.51	     1822.37	ATLAS
0.918	1.153	     1177.32	     1300.94	     1057.24	ATLAS
1.153	1.496	     757.915	     839.011	     669.239	ATLAS
1.496	1.947	     484.017	     542.099	     430.291	ATLAS
1.947	2.522	     305.286	     348.331	     263.462	ATLAS
2.522	3.277	     178.243	     209.614	     147.764	ATLAS
3.277	5	     108.474	     126.915	     90.0334	ATLAS
5	10	     29.0647	     34.5288	     22.9611	ATLAS
10	20	     6.37103	     7.70257	     5.02674	ATLAS
20	50	      1.3381	     1.62579	     1.03033	ATLAS
50	100	    0.286338	    0.366226	    0.194996	ATLAS
100	50000	  0.00020134	 0.000267178	 0.000127851	ATLAS
0	0.004	     37036.3	     57512.8	    -2915.42	N3LLp-ptg
0.004	0.008	     89590.7	     97249.7	     65912.4	N3LLp-ptg
0.008	0.012	      106070	      109793	     92026.7	N3LLp-ptg
0.012	0.016	      109581	      114824	      102248	N3LLp-ptg
0.016	0.02	      101464	      106415	     95416.5	N3LLp-ptg
0.02	0.024	     97859.7	      103427	     90909.1	N3LLp-ptg
0.024	0.029	     91504.2	     97796.3	       84868	N3LLp-ptg
0.029	0.034	     87587.8	     94455.3	     81044.9	N3LLp-ptg
0.034	0.039	     80967.2	     87367.9	     75210.3	N3LLp-ptg
0.039	0.045	     76443.5	       82824	     71069.8	N3LLp-ptg
0.045	0.051	     70765.4	     77221.4	     65505.2	N3LLp-ptg
0.051	0.057	     66817.7	     72969.9	       61969	N3LLp-ptg
0.057	0.064	     60814.6	     66917.4	     56113.3	N3LLp-ptg
0.064	0.072	     57625.1	     62824.6	     53641.8	N3LLp-ptg
0.072	0.081	     52152.4	     57647.9	     48030.5	N3LLp-ptg
0.081	0.091	     48030.8	     53031.1	     44296.6	N3LLp-ptg
0.091	0.102	     43976.2	     48751.2	     40458.5	N3LLp-ptg
0.102	0.114	     39994.5	     44669.8	     36578.7	N3LLp-ptg
0.114	0.128	     35514.8	       39787	     32425.2	N3LLp-ptg
0.128	0.145	     31652.7	       35510	     28888.7	N3LLp-ptg
0.145	0.165	     27116.8	     30657.7	     24605.1	N3LLp-ptg
0.165	0.189	       22935	     25878.1	     20834.9	N3LLp-ptg
0.189	0.219	     18821.6	     21127.5	     17054.8	N3LLp-ptg
0.219	0.258	     14611.5	     16717.2	     13038.1	N3LLp-ptg
0.258	0.312	     10919.3	     12601.7	     9644.38	N3LLp-ptg
0.312	0.391	     7573.32	     8789.04	     6655.95	N3LLp-ptg
0.391	0.524	     4710.13	     5484.12	     4128.08	N3LLp-ptg
0.524	0.695	     2759.28	     3211.75	     2420.13	N3LLp-ptg
0.695	0.918	     1608.08	     1882.02	     1403.82	N3LLp-ptg
0.918	1.153	     973.523	     1138.77	     850.471	N3LLp-ptg
1.153	1.496	     617.353	     720.583	     540.359	N3LLp-ptg
1.496	1.947	     378.014	     446.029	      327.56	N3LLp-ptg
1.947	2.522	     225.086	     264.543	     195.736	N3LLp-ptg
2.522	3.277	     136.297	     157.967	     120.184	N3LLp-ptg
3.277	5	     70.0854	     81.0753	     61.9007	N3LLp-ptg
5	10	     17.1703	     20.2687	     14.8773	N3LLp-ptg
10	20	     3.52764	     4.11141	     3.09317	N3LLp-ptg
20	50	    0.714199	    0.822533	    0.632963	N3LLp-ptg
50	100	    0.113791	    0.129693	    0.101841	N3LLp-ptg
100	50000	 0.000111278	 0.000123605	 0.000101876	N3LLp-ptg
0	0.004	     -246799	     -135359	     -410629	N3LL-ptg-hybrid
0.004	0.008	      106926	      138358	     57469.9	N3LL-ptg-hybrid
0.008	0.012	      154746	      170722	      136921	N3LL-ptg-hybrid
0.012	0.016	      163835	      180005	      147096	N3LL-ptg-hybrid
0.016	0.02	      158469	      179874	      140358	N3LL-ptg-hybrid
0.02	0.024	      149619	      170747	      133145	N3LL-ptg-hybrid
0.024	0.029	      138326	      160154	      122210	N3LL-ptg-hybrid
0.029	0.034	      126538	      145463	      112636	N3LL-ptg-hybrid
0.034	0.039	      115175	      131444	      103241	N3LL-ptg-hybrid
0.039	0.045	      105773	      121363	     94420.6	N3LL-ptg-hybrid
0.045	0.051	     97370.6	      111521	     87060.1	N3LL-ptg-hybrid
0.051	0.057	     88706.2	      101534	     79378.2	N3LL-ptg-hybrid
0.057	0.064	     81757.8	     93522.7	     73185.2	N3LL-ptg-hybrid
0.064	0.072	     75298.8	     87696.1	     66309.7	N3LL-ptg-hybrid
0.072	0.081	     69570.5	     81397.5	       61005	N3LL-ptg-hybrid
0.081	0.091	     62917.9	     73520.9	     55231.7	N3LL-ptg-hybrid
0.091	0.102	     55800.6	     65130.3	     49019.4	N3LL-ptg-hybrid
0.102	0.114	     48901.8	     56839.7	     43126.3	N3LL-ptg-hybrid
0.114	0.128	     42930.3	     49873.5	     37867.1	N3LL-ptg-hybrid
0.128	0.145	     37247.8	     43295.2	     32834.5	N3LL-ptg-hybrid
0.145	0.165	     31287.3	     36403.2	     27550.8	N3LL-ptg-hybrid
0.165	0.189	     26118.9	     30367.5	       23013	N3LL-ptg-hybrid
0.189	0.219	     21083.9	     24640.6	     18486.4	N3LL-ptg-hybrid
0.219	0.258	       16445	     19285.8	     14364.3	N3LL-ptg-hybrid
0.258	0.312	       12092	     14228.6	     10522.9	N3LL-ptg-hybrid
0.312	0.391	     8454.59	     9929.77	     7368.29	N3LL-ptg-hybrid
0.391	0.524	      5203.4	     6149.23	     4506.19	N3LL-ptg-hybrid
0.524	0.695	     3013.12	     3557.23	     2612.43	N3LL-ptg-hybrid
0.695	0.918	     1759.95	     2064.44	     1535.43	N3LL-ptg-hybrid
0.918	1.153	     1083.07	     1271.57	     943.706	N3LL-ptg-hybrid
1.153	1.496	     677.337	     803.458	     583.979	N3LL-ptg-hybrid
1.496	1.947	     413.179	     487.433	     358.225	N3LL-ptg-hybrid
1.947	2.522	     248.138	     293.612	     214.492	N3LL-ptg-hybrid
2.522	3.277	     162.343	     192.246	     140.474	N3LL-ptg-hybrid
3.277	5	     77.0366	     92.1995	     65.9657	N3LL-ptg-hybrid
5	10	     18.0321	     20.9739	     15.8621	N3LL-ptg-hybrid
10	20	     3.78734	     4.42723	      3.3095	N3LL-ptg-hybrid
20	50	    0.659831	    0.744248	    0.596184	N3LL-ptg-hybrid
50	100	    0.124577	    0.140282	    0.112938	N3LL-ptg-hybrid
100	50000	 0.000111697	 0.000124028	 0.000102511	N3LL-ptg-hybrid
