id,PlantingMon,PlantingDay,HarvestMon,HarvestDay,HarvestType,HarvestEfficiency,HarvestIndexOverride,StoverFraction,CNOP,IsGrain,PRCOP
1,5,1,10,1,2,1,0,0,1,1,1
2,5,4,8,18,2,1,0,0,1,1,1
3,5,25,9,14,2,1,0,0,1,1,1
4,6,4,10,11,2,1,0,0,1,1,1
5,5,18,9,11,2,1,0,0,1,1,1
6,5,1,10,1,2,1,0,0,1,1,1
7,5,1,8,18,2,1,0,0,1,1,1
8,5,21,10,25,2,1,0,0,1,1,1
9,4,25,10,18,2,1,0,0,1,1,1
10,5,4,10,4,2,1,0,0,1,1,1
11,9,4,8,11,2,1,0,0,1,1,1
12,5,11,10,11,2,1,0,0,1,1,1
13,5,1,8,4,2,1,0,0,1,1,1
14,5,25,9,18,2,1,0,0,1,1,1
15,5,1,10,1,2,1,0,0,1,1,1
16,5,1,10,1,2,1,0,0,1,1,1
17,5,25,8,11,2,1,0,0,1,1,1
18,6,18,9,4,2,1,0,0,1,1,1
19,6,11,8,25,2,1,0,0,1,1,1
20,5,25,10,1,2,1,0,0,1,1,1
21,5,1,10,1,2,1,0,0,1,1,1
22,5,1,10,1,2,1,0,0,1,1,1
23,5,14,9,6,2,1,0,0,1,1,1
24,5,25,7,25,2,1,0,0,1,1,1
25,5,11,9,25,2,1,0,0,1,1,1
26,5,18,9,18,2,1,0,0,1,1,1
27,5,1,10,1,2,1,0,0,1,1,1
28,5,18,9,25,2,1,0,0,1,1,1
29,5,11,8,18,2,1,0,0,1,1,1
30,6,4,9,14,2,1,0,0,1,1,1
31,5,18,9,11,2,1,0,0,1,1,1
32,5,11,10,11,2,1,0,0,1,1,1
33,5,11,9,25,2,1,0,0,1,1,1
34,5,11,9,11,2,1,0,0,1,1,1
35,5,11,8,18,2,1,0,0,1,1,1
36,9,4,8,11,2,1,0,0,1,1,1
