IFNUM,FERTNM,DESCRIPTION,FMINN,FMINP,FORGN,FORGP,FNH3N,BACTPDB,BACTLPDB,BACKTKDDB,IsManure
1,Elem-N,Elemental Nitrogen,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Elem-P,Elemental Phosphorous,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
3,ANH-NH3,Anhydrous Ammonia,0.82,0.0,0.0,0.0,1.0,0.0,0,0,0
4,UREA,UREA,0.46,0.0,0.0,0.0,1.0,0.0,0,0,0
5,46-00-00,46-00-00,0.46,0.0,0.0,0.0,0.0,0.0,0,0,0
6,33-00-00,33-00-00,0.33,0.0,0.0,0.0,0.0,0.0,0,0,0
7,31-13-00,31-13-00,0.31,0.057,0.0,0.0,0.0,0.0,0,0,0
8,30-80-00,30-80-00,0.3,0.352,0.0,0.0,0.0,0.0,0,0,0
9,30-15-00,30-15-00,0.3,0.066,0.0,0.0,0.0,0.0,0,0,0
10,28-10-10,28-10-10,0.28,0.044,0.0,0.0,0.0,0.0,0,0,0
11,28-03-00,28-03-00,0.28,0.013,0.0,0.0,0.0,0.0,0,0,0
12,26-13-00,26-13-00,0.26,0.057,0.0,0.0,0.0,0.0,0,0,0
13,25-05-00,25-05-00,0.25,0.022,0.0,0.0,0.0,0.0,0,0,0
14,25-03-00,25-03-00,0.25,0.013,0.0,0.0,0.0,0.0,0,0,0
15,24-06-00,24-06-00,0.24,0.026,0.0,0.0,0.0,0.0,0,0,0
16,22-14-00,22-14-00,0.22,0.062,0.0,0.0,0.0,0.0,0,0,0
17,20-20-00,20-20-00,0.2,0.088,0.0,0.0,0.0,0.0,0,0,0
18,18-46-00,18-46-00,0.18,0.202,0.0,0.0,0.0,0.0,0,0,0
19,18-04-00,18-04-00,0.18,0.018,0.0,0.0,0.0,0.0,0,0,0
20,6/24/2024,6/24/2024,0.06,0.106,0.0,0.0,0.0,0.0,0,0,0
21,16-20-20,16-20-20,0.16,0.088,0.0,0.0,0.0,0.0,0,0,0
22,15-15-15,15-15-15,0.15,0.066,0.0,0.0,0.0,0.0,0,0,0
23,15-15-00,15-15-00,0.15,0.066,0.0,0.0,0.0,0.0,0,0,0
24,13-13-13,13-13-13,0.13,0.057,0.0,0.0,0.0,0.0,0,0,0
25,12/20/2000,12/20/2000,0.12,0.088,0.0,0.0,0.0,0.0,0,0,0
26,11-52-00,11-52-00,0.11,0.229,0.0,0.0,0.0,0.0,0,0,0
27,11/15/2000,11/15/2000,0.11,0.066,0.0,0.0,0.0,0.0,0,0,0
28,10-34-00,10-34-00,0.1,0.15,0.0,0.0,0.0,0.0,0,0,0
29,10/28/2000,10/28/2000,0.1,0.123,0.0,0.0,0.0,0.0,0,0,0
30,10/10/2010,10/10/2010,0.1,0.044,0.0,0.0,0.0,0.0,0,0,0
31,8/15/2000,8/15/2000,0.08,0.066,0.0,0.0,0.0,0.0,0,0,0
32,8/8/2000,8/8/2000,0.08,0.035,0.0,0.0,0.0,0.0,0,0,0
33,7/7/2000,7/7/2000,0.07,0.031,0.0,0.0,0.0,0.0,0,0,0
34,07-00-00,07-00-00,0.07,0.0,0.0,0.0,0.0,0.0,0,0,0
35,5/10/2015,5/10/2015,0.05,0.044,0.0,0.0,0.0,0.0,0,0,0
36,5/10/2010,5/10/2010,0.05,0.044,0.0,0.0,0.0,0.0,0,0,0
37,5/10/2005,5/10/2005,0.05,0.044,0.0,0.0,0.0,0.0,0,0,0
38,4/8/2000,4/8/2000,0.04,0.035,0.0,0.0,0.0,0.0,0,0,0
39,3/6/2000,3/6/2000,0.03,0.026,0.0,0.0,0.0,0.0,0,0,0
