ID,Code,Name,Runoff_c1,Runoff_c2,Runoff_c3,Sed_c1,Sed_c2,Sed_c3,OrgN_c1,OrgN_c2,NO3_c1,NO3_c2,PP_c1,DP_c1,DP_c2,NO3_Reduc_C1,NO3_Reduc_C2
6,FRST,Forest-Mixed,75.8,32.4,25.9,19,1.04,0.213,0.036,1.69,39.4,0.584,0.903,29.3,0.51,2.1661,5.1302
7,FRSD,Forest-Deciduous,75.8,32.4,25.9,19,1.04,0.213,0.036,1.69,39.4,0.584,0.903,29.3,0.51,2.1661,5.1302
8,FRSE,Forest-Evergreen,75.8,32.4,25.9,19,1.04,0.213,0.036,1.69,39.4,0.584,0.903,29.3,0.51,2.1661,5.1302
15,RNGE,Grass,75.8,32.4,25.9,19,1.04,0.213,0.036,1.69,39.4,0.584,0.903,29.3,0.51,2.1661,5.1302
